"","year","dublin_pressure","dublin_uwind","dublin_vwind","newlyn_pressure","newlyn_uwind","newlyn_vwind","brest_pressure","brest_uwind","brest_vwind"
"1",1948,100408.81147541,6.20219485597512,2.12972212329422,100466.099726776,5.48791900635433,1.42726317467152,102636.031420765,4.93300104154393,0.945364264210451
"2",1949,100644.815068493,6.49000884259091,0.676173601821302,100692.01369863,4.86487206860036,0.136652765486515,102829.054794521,3.52240644605501,-0.165059357312366
"3",1950,100204.623287671,6.62377617815173,1.26952964378871,100268.054794521,6.39041994638875,0.589324063390625,102462.198630137,5.62555725404037,-0.107525257206202
"4",1951,100024.287671233,5.20987207878695,0.950899412308433,100050.205479452,5.43473522257047,0.494187220846104,102227.294520548,5.38247464399834,0.0141871310404802
"5",1952,100365.259562842,4.65321954104364,-1.24295553782435,100351.318306011,4.22091052211594,-1.4202777020174,102478.053278689,4.06585591692209,-1.49882971011756
"6",1953,100684.595890411,4.84131046573734,0.622337858822132,100685.363013699,3.41000914561063,0.133502059909621,102792.849315068,2.33631053427408,-0.29136063725404
"7",1954,100213.890410959,6.46117352321161,-0.376566253375669,100298.109589041,6.17610492979639,-0.831497816460349,102509.082191781,5.37261183275872,-1.30978531732606
"8",1955,100445.890410959,2.92863918329888,-0.336155260808005,100384.308219178,2.60932413478788,-0.554100343381689,102464.349315068,2.70898170561395,-0.614442845729131
"9",1956,100580.765027322,4.43197631902426,-0.649376268421918,100575.273224044,3.43805549902333,-1.11508665517055,102694.221311475,2.44966752060048,-1.35798254762936
"10",1957,100437.232876712,4.86939266213107,0.283981598967626,100445.294520548,4.16726923166532,-0.261292264324406,102574.575342466,3.38555691157462,-0.771429373373797
"11",1958,100228.01369863,4.68226931578259,0.63692684302927,100246.082191781,4.99815972439145,0.236652812611462,102403.301369863,4.56247458916107,-0.259922470129094
"12",1959,100362.869863014,4.08089952578882,1.39274898484693,100354.842465753,3.2435706088598,0.435899498052306,102458.575342466,2.51247473167321,-0.185881234868713
"13",1960,100019.132513661,3.52234484884656,0.968383240234935,100006.338797814,4.07418939977045,0.260937984514413,102147.657103825,4.19194916563959,-0.467750493439928
"14",1961,100335.178082192,6.15624209836737,1.09206390932213,100384.671232877,5.02946121406352,0.316242019380458,102527.034246575,3.72754338770144,-0.350059308968751
"15",1962,100529.993150685,4.85494053624243,-1.09300494227304,100531.609589041,4.00151589951049,-1.50533360436197,102659.253424658,3.07144752180833,-1.94047023214528
"16",1963,100241.232876712,3.2394611733434,1.53103652022448,100199.863013699,3.58918700354214,0.839529495096104,102316.815068493,3.69137890218785,0.170899672769932
"17",1964,100575.075136612,4.6563615455449,0.882659381617411,100564.06420765,3.57617024991472,0.156361500980404,102666.892076503,2.86770035482086,-0.35716304898699
"18",1965,100243.828767123,4.44459808386997,-0.544785565522207,100249.883561644,4.71466648659362,-0.935539212240342,102412.767123288,4.92076256984849,-1.28259373562037
